source,file,kind,direction,magnitude,run,size,activity,ns
micro,named_deep_8.json,named,deep,8,4,53,saving,24044
micro,named_deep_8.json,named,deep,8,4,53,writing,431224
micro,named_wide_1.json,named,wide,1,4,11,reading,54722
micro,named_wide_1.json,named,wide,1,4,11,loading,25472
micro,named_wide_1.json,named,wide,1,4,11,saving,13808
micro,named_wide_1.json,named,wide,1,4,11,writing,202755
micro,list_deep_8.json,list,deep,8,4,21,reading,926729
micro,list_deep_8.json,list,deep,8,4,21,loading,57956
micro,list_deep_8.json,list,deep,8,4,21,saving,15354
micro,list_deep_8.json,list,deep,8,4,21,writing,243627
micro,named_wide_32.json,named,wide,32,4,296,reading,1252090
micro,named_wide_32.json,named,wide,32,4,296,loading,38098
micro,named_wide_32.json,named,wide,32,4,296,saving,33770
