source,file,run,size,activity,ns
fda,recall50.json,2,1049501,reading,1372304499
fda,recall50.json,2,1049501,loading,33504
fda,recall50.json,2,1049501,saving,5290141
fda,recall50.json,2,1049501,writing,1020964698
fda,waterpipe.json,2,1955,reading,2928379
fda,waterpipe.json,2,1955,loading,29116
fda,waterpipe.json,2,1955,saving,23818
fda,waterpipe.json,2,1955,writing,1559078
rv,agni.json,2,89267,reading,121899320
rv,agni.json,2,89267,loading,199499
rv,agni.json,2,89267,saving,956393
rv,agni.json,2,89267,writing,133916392
fda,tobacco100.json,2,63634,reading,85988304
fda,tobacco100.json,2,63634,loading,39318
fda,tobacco100.json,2,63634,saving,282045
fda,tobacco100.json,2,63634,writing,46884657
penguin,linux.json,2,64401,reading,88482091
penguin,linux.json,2,64401,loading,35108
penguin,linux.json,2,64401,saving,541591
penguin,linux.json,2,64401,writing,34744748
json.org,json_eg4.json,2,3468,reading,4824950
json.org,json_eg4.json,2,3468,loading,30873
json.org,json_eg4.json,2,3468,saving,50435
json.org,json_eg4.json,2,3468,writing,3654095
gh,mgree.json,2,1331,reading,2115228
gh,mgree.json,2,1331,loading,87318
gh,mgree.json,2,1331,saving,37852
gh,mgree.json,2,1331,writing,1517501
fda,tobacco_products.json,2,2345,reading,3323775
fda,tobacco_products.json,2,2345,loading,29903
fda,tobacco_products.json,2,2345,saving,30431
fda,tobacco_products.json,2,2345,writing,2328291
doi,doi_10.1000_1.json,2,369,reading,775615
doi,doi_10.1000_1.json,2,369,loading,30628
doi,doi_10.1000_1.json,2,369,saving,21877
doi,doi_10.1000_1.json,2,369,writing,919248
ncdc,ncdc_zips.json,2,2851,reading,4168087
ncdc,ncdc_zips.json,2,2851,loading,32189
ncdc,ncdc_zips.json,2,2851,saving,46680
ncdc,ncdc_zips.json,2,2851,writing,86485209
synthetic,obj_rename.json,2,69,reading,358016
synthetic,obj_rename.json,2,69,loading,32984
synthetic,obj_rename.json,2,69,saving,13194
synthetic,obj_rename.json,2,69,writing,390292
fda,recall10.json,2,212061,reading,280908390
fda,recall10.json,2,212061,loading,32363
fda,recall10.json,2,212061,saving,975701
fda,recall10.json,2,212061,writing,201470130
gh,gh_events.json,2,54778,reading,76617202
gh,gh_events.json,2,54778,loading,77359
gh,gh_events.json,2,54778,saving,394559
gh,gh_events.json,2,54778,writing,47295826
ncdc,ncdc_datacategories.json,2,1075,reading,1801728
ncdc,ncdc_datacategories.json,2,1075,loading,32713
ncdc,ncdc_datacategories.json,2,1075,saving,42745
ncdc,ncdc_datacategories.json,2,1075,writing,3078714
fda,event100.json,2,2945177,reading,3855360432
fda,event100.json,2,2945177,loading,39979
fda,event100.json,2,2945177,saving,10442490
fda,event100.json,2,2945177,writing,1866389930
gh,ffs.json,2,5089,reading,7427520
gh,ffs.json,2,5089,loading,68284
gh,ffs.json,2,5089,saving,81762
gh,ffs.json,2,5089,writing,4441331
rv,human_male.json,2,603912,reading,830731668
rv,human_male.json,2,603912,loading,1303763
rv,human_male.json,2,603912,saving,5216214
rv,human_male.json,2,603912,writing,880192716
gh,gh_gpl3.json,2,36979,reading,51684536
gh,gh_gpl3.json,2,36979,loading,39497
gh,gh_gpl3.json,2,36979,saving,49089
gh,gh_gpl3.json,2,36979,writing,8522617
fda,event.json,2,1819,reading,2813640
fda,event.json,2,1819,loading,30912
fda,event.json,2,1819,saving,29980
fda,event.json,2,1819,writing,1992035
penguin,dekeijzer.json,2,446,reading,1613819
penguin,dekeijzer.json,2,446,loading,31190
penguin,dekeijzer.json,2,446,saving,19317
penguin,dekeijzer.json,2,446,writing,944106
gh,gh_emoji.json,2,173641,reading,235506316
gh,gh_emoji.json,2,173641,loading,1140736
gh,gh_emoji.json,2,173641,saving,1656825
gh,gh_emoji.json,2,173641,writing,82022424
fda,registrationlisting100.json,2,214459,reading,284921315
fda,registrationlisting100.json,2,214459,loading,32289
fda,registrationlisting100.json,2,214459,saving,1601783
fda,registrationlisting100.json,2,214459,writing,226451360
ncdc,ncdc_datatypes.json,2,4013,reading,6397407
ncdc,ncdc_datatypes.json,2,4013,loading,34599
ncdc,ncdc_datatypes.json,2,4013,saving,56604
ncdc,ncdc_datatypes.json,2,4013,writing,5875856
json.org,json_eg2.json,2,242,reading,650506
json.org,json_eg2.json,2,242,loading,31922
json.org,json_eg2.json,2,242,saving,28730
json.org,json_eg2.json,2,242,writing,711293
penguin,grisham.json,2,22488,reading,33292570
penguin,grisham.json,2,22488,loading,35223
penguin,grisham.json,2,22488,saving,488276
penguin,grisham.json,2,22488,writing,61071911
json.org,json_eg3.json,2,602,reading,1073686
json.org,json_eg3.json,2,602,loading,30755
json.org,json_eg3.json,2,602,saving,21586
json.org,json_eg3.json,2,602,writing,1214789
penn,historic-20181028.json,2,1468638,reading,1941970459
penn,historic-20181028.json,2,1468638,loading,1137130
penn,historic-20181028.json,2,1468638,saving,11517049
penn,historic-20181028.json,2,1468638,writing,1594422833
doi,doi_smoosh.json,2,537,reading,1064373
doi,doi_smoosh.json,2,537,loading,33816
doi,doi_smoosh.json,2,537,saving,31383
doi,doi_smoosh.json,2,537,writing,1391482
json.org,json_eg1.json,2,583,reading,999014
json.org,json_eg1.json,2,583,loading,29606
json.org,json_eg1.json,2,583,saving,23320
json.org,json_eg1.json,2,583,writing,883581
gov.uk,bank-holidays.json,2,15124,reading,22434196
gov.uk,bank-holidays.json,2,15124,loading,40030
gov.uk,bank-holidays.json,2,15124,saving,272683
gov.uk,bank-holidays.json,2,15124,writing,32691492
ncdc,ncdc_datasets.json,2,1625,reading,2951805
ncdc,ncdc_datasets.json,2,1625,loading,29314
ncdc,ncdc_datasets.json,2,1625,saving,36759
ncdc,ncdc_datasets.json,2,1625,writing,3472864
ncdc,ncdc_stations_big.json,2,200908,reading,267642979
ncdc,ncdc_stations_big.json,2,200908,loading,34559
ncdc,ncdc_stations_big.json,2,200908,saving,1725905
ncdc,ncdc_stations_big.json,2,200908,writing,352899526
rv,animal.json,2,7051,reading,10571215
rv,animal.json,2,7051,loading,79084
rv,animal.json,2,7051,saving,83049
rv,animal.json,2,7051,writing,10309102
gh,mgree_repos.json,2,159905,reading,212746134
gh,mgree_repos.json,2,159905,loading,71290
gh,mgree_repos.json,2,159905,saving,875917
gh,mgree_repos.json,2,159905,writing,111918025
fda,recall100.json,2,2117776,reading,2782041169
fda,recall100.json,2,2117776,loading,32888
fda,recall100.json,2,2117776,saving,9461259
fda,recall100.json,2,2117776,writing,2028772621
fda,tobacco.json,2,1144,reading,1758431
fda,tobacco.json,2,1144,loading,30750
fda,tobacco.json,2,1144,saving,21903
fda,tobacco.json,2,1144,writing,1824744
ncdc,ncdc_locations.json,2,2808,reading,4749570
ncdc,ncdc_locations.json,2,2808,loading,30563
ncdc,ncdc_locations.json,2,2808,saving,54768
ncdc,ncdc_locations.json,2,2808,writing,5773436
json.org,json_eg5.json,3,873,reading,2136325
json.org,json_eg5.json,3,873,loading,30429
json.org,json_eg5.json,3,873,saving,37991
json.org,json_eg5.json,3,873,writing,1801154
gh,gh_emoji.json,3,173641,reading,230215992
gh,gh_emoji.json,3,173641,loading,1117734
gh,gh_emoji.json,3,173641,saving,1952018
gh,gh_emoji.json,3,173641,writing,79507452
json.org,json_eg1.json,3,583,reading,1758130
json.org,json_eg1.json,3,583,loading,34834
json.org,json_eg1.json,3,583,saving,35737
json.org,json_eg1.json,3,583,writing,811151
doi,doi_10.1000_1.json,3,369,reading,717859
doi,doi_10.1000_1.json,3,369,loading,37264
doi,doi_10.1000_1.json,3,369,saving,25045
doi,doi_10.1000_1.json,3,369,writing,924310
ncdc,ncdc_stations_big.json,3,200908,reading,268409452
ncdc,ncdc_stations_big.json,3,200908,loading,31462
ncdc,ncdc_stations_big.json,3,200908,saving,1725415
ncdc,ncdc_stations_big.json,3,200908,writing,374796199
fda,registrationlisting100.json,3,214459,reading,286267398
fda,registrationlisting100.json,3,214459,loading,34996
fda,registrationlisting100.json,3,214459,saving,1578902
fda,registrationlisting100.json,3,214459,writing,227103840
doi,doi_smoosh.json,3,537,reading,1710431
doi,doi_smoosh.json,3,537,loading,30152
doi,doi_smoosh.json,3,537,saving,26686
doi,doi_smoosh.json,3,537,writing,1230624
fda,tobacco.json,3,1144,reading,1564147
fda,tobacco.json,3,1144,loading,32625
fda,tobacco.json,3,1144,saving,16188
fda,tobacco.json,3,1144,writing,1078518
fda,waterpipe.json,3,1955,reading,2878027
fda,waterpipe.json,3,1955,loading,29723
fda,waterpipe.json,3,1955,saving,27385
fda,waterpipe.json,3,1955,writing,1560272
gh,gh_mgree_events.json,3,168832,reading,228289408
gh,gh_mgree_events.json,3,168832,loading,73734
gh,gh_mgree_events.json,3,168832,saving,1052810
gh,gh_mgree_events.json,3,168832,writing,139227181
ncdc,ncdc_locationcategories.json,3,543,reading,1034665
ncdc,ncdc_locationcategories.json,3,543,loading,31473
ncdc,ncdc_locationcategories.json,3,543,saving,29766
ncdc,ncdc_locationcategories.json,3,543,writing,1721597
ncdc,ncdc_datacategories.json,3,1075,reading,2526029
ncdc,ncdc_datacategories.json,3,1075,loading,42081
ncdc,ncdc_datacategories.json,3,1075,saving,51644
ncdc,ncdc_datacategories.json,3,1075,writing,3441723
penn,historic-20181028.json,3,1468638,reading,1973298769
penn,historic-20181028.json,3,1468638,loading,1052993
penn,historic-20181028.json,3,1468638,saving,12115188
penn,historic-20181028.json,3,1468638,writing,1586576708
gov.uk,bank-holidays.json,3,15124,reading,22499649
gov.uk,bank-holidays.json,3,15124,loading,40420
gov.uk,bank-holidays.json,3,15124,saving,259516
gov.uk,bank-holidays.json,3,15124,writing,34163865
json.org,json_eg2.json,3,242,reading,1260092
json.org,json_eg2.json,3,242,loading,32696
json.org,json_eg2.json,3,242,saving,19050
json.org,json_eg2.json,3,242,writing,698962
gh,gh_apache2.json,3,12591,reading,17682458
gh,gh_apache2.json,3,12591,loading,42574
gh,gh_apache2.json,3,12591,saving,45664
gh,gh_apache2.json,3,12591,writing,3605027
gh,mgree.json,3,1331,reading,2003162
gh,mgree.json,3,1331,loading,48587
gh,mgree.json,3,1331,saving,41174
